,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2041-06-01,461.1064006538854,420.1700799377519,420.1700799377519,502.04272137001885,502.04272137001885
2041-07-01,459.7482914706696,418.5899054949286,418.5899054949286,500.9066774464106,500.9066774464106
2041-08-01,459.9591921714892,418.57993265135286,418.57993265135286,501.3384516916255,501.3384516916255
2041-09-01,461.4971134363913,419.8795924275425,419.8795924275425,503.11463444524014,503.11463444524014
2041-10-01,462.99888504348706,421.14267329122015,421.14267329122015,504.855096795754,504.855096795754
2041-11-01,463.9527368799171,421.8591878542144,421.8591878542144,506.0462859056198,506.0462859056198
2041-12-01,464.6437609383913,422.31420534294637,422.31420534294637,506.9733165338363,506.9733165338363
2042-01-01,465.1720964683898,422.6078428717802,422.6078428717802,507.7363500649994,507.7363500649994
2042-02-01,465.6162335590366,422.8185690016671,422.8185690016671,508.4138981164061,508.4138981164061
2042-03-01,465.98213095389167,422.9523215318904,422.9523215318904,509.01194037589295,509.01194037589295
2042-04-01,466.03192428331,422.77121571049094,422.77121571049094,509.29263285612905,509.29263285612905
2042-05-01,465.18401579615045,421.6936339450904,421.6936339450904,508.67439764721047,508.67439764721047
2042-06-01,463.4843667858712,419.7655182090904,419.7655182090904,507.20321536265203,507.20321536265203
2042-07-01,462.1262576026554,418.1801300348993,418.1801300348993,506.0723851704115,506.0723851704115
2042-08-01,462.337158303475,418.16492114625294,418.16492114625294,506.5093954606971,506.5093954606971
2042-09-01,463.87507956837715,419.45971917283254,419.45971917283254,508.29043996392176,508.29043996392176
2042-10-01,465.3768511754729,420.71794477309436,420.71794477309436,510.0357575778514,510.0357575778514
2042-11-01,466.3307030119029,421.4295715891125,421.4295715891125,511.2318344346933,511.2318344346933
2042-12-01,467.02172707037715,421.8796703489895,421.8796703489895,512.1637837917648,512.1637837917648
2043-01-01,467.5500626003756,422.1683596020607,422.1683596020607,512.9317655986905,512.9317655986905
2043-02-01,467.9941996910224,422.37410928101167,422.37410928101167,513.6142901010331,513.6142901010331
2043-03-01,468.3600970858775,422.5028584968844,422.5028584968844,514.2173356748706,514.2173356748706
2043-04-01,468.4098904152958,422.3167237525667,422.3167237525667,514.5030570780249,514.5030570780249
2043-05-01,467.5619819281363,421.23408865649685,421.23408865649685,513.8898751997757,513.8898751997757
2043-06-01,465.86233291785703,419.3008963315731,419.3008963315731,512.423769504141,512.423769504141
2043-07-01,464.50422373464124,417.71040941093094,417.71040941093094,511.29803805835155,511.29803805835155
2043-08-01,464.71512443546084,417.6900806726618,417.6900806726618,511.7401681982599,511.7401681982599
2043-09-01,466.253045700363,418.9801098778045,418.9801098778045,513.5259815229215,513.5259815229215
2043-10-01,467.7548173074587,420.2335729252991,420.2335729252991,515.2760616896184,515.2760616896184
2043-11-01,468.70866914388876,420.94040694005577,420.94040694005577,516.4769313477218,516.4769313477218
2043-12-01,469.399693202363,421.38568399339,421.38568399339,517.413702411336,517.413702411336
2044-01-01,469.92802873236144,421.6695239206234,421.6695239206234,518.1865335440995,518.1865335440995
2044-02-01,470.37216582300823,421.8703978860583,421.8703978860583,518.8739337599582,518.8739337599582
2044-03-01,470.7380632178633,421.99424618067445,421.99424618067445,519.4818802550523,519.4818802550523
2044-04-01,470.78785654728165,421.80318643815315,421.80318643815315,519.7725266564102,519.7725266564102
2044-05-01,469.9399480601221,420.7156033509708,420.7156033509708,519.1642927692734,519.1642927692734
2044-06-01,468.24029904984286,418.77744108156134,418.77744108156134,517.7031570181243,517.7031570181243
2044-07-01,466.8821898666271,417.18196326021905,417.18196326021905,516.5824164730351,516.5824164730351
2044-08-01,467.09309056744667,417.15662362181894,417.15662362181894,517.0295575130745,517.0295575130745
2044-09-01,468.6310118323488,418.44197201393905,418.44197201393905,518.8200516507585,518.8200516507585
2044-10-01,470.13278343944455,419.6907603011197,419.6907603011197,520.5748065777694,520.5748065777694
2044-11-01,471.0866352758746,420.39289129616174,420.39289129616174,521.7803792555874,521.7803792555874
2044-12-01,471.7776593343488,420.83343827764753,420.83343827764753,522.72188039105,522.72188039105
2045-01-01,472.30599486434727,421.1125222387535,421.1125222387535,523.499467489941,523.499467489941
2045-02-01,472.75013195499406,421.3086154545953,421.3086154545953,524.1916484553927,524.1916484553927
2045-03-01,473.11602934984916,421.4276592821621,421.4276592821621,524.8043994175362,524.8043994175362
2045-04-01,473.1658226792675,421.2317723784529,421.2317723784529,525.0998729800821,525.0998729800821
2045-05-01,472.31791419210793,420.1393404185664,420.1393404185664,524.4964879656495,524.4964879656495
2045-06-01,470.6182651818287,418.1963085087502,418.1963085087502,523.0402218549073,523.0402218549073
2045-07-01,469.2601559986129,416.59594118608686,416.59594118608686,521.9243708111389,521.9243708111389
2045-08-01,469.4710566994325,416.5656930568983,416.5656930568983,522.3764203419667,522.3764203419667
2045-09-01,471.00897796433463,417.8464441156197,417.8464441156197,524.1715118130496,524.1715118130496
2045-10-01,472.5107495714304,419.09064091045354,419.09064091045354,525.9308582324072,525.9308582324072
2045-11-01,473.4646014078604,419.788153933336,419.788153933336,527.1410488823848,527.1410488823848
2045-12-01,474.15562546633464,420.224057552726,420.224057552726,528.0871933799433,528.0871933799433
2046-01-01,474.6839609963331,420.4984738087569,420.4984738087569,528.8694481839093,528.8694481839093
2046-02-01,475.1280980869799,420.6898759825633,420.6898759825633,529.5663201913965,529.5663201913965
2046-03-01,475.493995481835,420.80420639808926,420.80420639808926,530.1837845655807,530.1837845655807
2046-04-01,475.5437888112533,420.60358464199857,420.60358464199857,530.4839929805081,530.4839929805081
